ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GJ4TQ5TH,"Citronella Candles Outdoor Large 23oz 3-Wick Natural Citronella Lemongrass Soy Wax Bucket Candle Up to 100 Hours Outdoor Candles for Patio,Yard,Fishing,Home Decor,Backyard in Summer",$16.96,$276,99229,0,4.7,FBA,1,No
B0DWM7TRHY,"Citronella Candles Outdoor, 2 Pack 26oz Citronella Candle Set, 3-Wick Metal Bucket, 80-Hour Burn Time Each, Soy Wax Large Outdoor Candles for Patio, Home, Indoor, Deck, Backyard & Camping",$16.97,$501,77159,176,4.3,FBA,2,No
B001H1JN36,"TIKI Citronella Candle 28-Ounce – Triple Wick Metal Bucket with Lid (Silver) – Long-Lasting Outdoor Candle for Patio, Deck, Garden, Backyard & Camping",$14.99,"$5,417",11384,3274,4.1,FBA,3,No
B0CQFMBJLQ,"Citronella Candles Outdoor – 2 x 17 oz Large 3-Wick Outdoor Candle, Up to 180 Hours Burn Time, Lemongrass Scent for Outdoor Patio, Garden, Yard, Balcony, Camping",$16.19,$230,166365,241,4.1,FBA,4,No
B0DZ4JGT43,"Coleman Citronella Candle 18oz – 30+ Hour Burn Time, Outdoor Candle with Single Wick & Recyclable Tin for Camping, Patio, & Backyard",$12.99,"$1,277",9064,284,4.5,FBA,5,No
B0GJCY2TJ9,"Citronella Candles Outdoor, 34OZ Large Citronella Candle for Patio, 3 Wicks Natural Soy Candle for Summer, 200 Hours Long Lasting Burn Outside Candles for Garden, Yard Balcony, Camping",$16.16,$899,58940,31,4.4,FBA,6,No
B0GJRS7R32,"Citronella Candles Outdoor - Large 23oz Citronella Candles Outdoor with Lid,3 Wick Summer Candle Bulk for Patio Home Garden Yard Camping Party Outside Indoor Decorative,Long Burning Time",$16.99,$851,78010,24,4.6,FBA,7,No
B0GPVQ84WP,"Large Citronella Candles Outdoor,3 Pack 20oz (Total 60oz) Citronella Candles for Patio,200+ Hour Burn Time,3-Wick Outdoor Camping Candles for Outside,Large Soy Wax Candle for Backyard Porch Balcony",$29.99,$176,240846,0,4.8,FBA,8,No
B0DSJC89NH,"Citronella Candles Outdoor - Large 34oz Citronella Candle for Patio up to 200 Hours Burning, 3-Wick Summer Outdoor Candles Bulk for Home,2pcs Soy Wax Candle for Garden Camping Party Yard Balcony",$18.98,"$2,585",5945,370,4.2,FBA,9,No
B0031AHO8W,"SC Johnson Off 3 Wick Citronella Bucket, 23 oz, Pack of 1",$12.59,$256,114558,73,4.4,FBA,10,No
