ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0CNSS5H11,"40oz Tumbler Lid Compatible for Stanley, 2 Pack Replacement Tumbler Lids Fit for Stanley Quencher 2.0 Tumbler 40 OZ, with Straws and Cleaning Brush (Orchid)",$9.99,"$1,439",7736,1124,4.4,FBA,1,No
B0F3TG85RV,"40 OZ Tumbler Lid Replacement Compatible for Stanley Quencher, 2 Pack Spill Proof Tumbler Covers for Stanley Cup Accessories (Opaque-White)",$6.99,"$1,047",9029,331,4.5,FBA,2,No
B0FNJP4HBD,"2 Pack Stanley Lid Replacement 40 oz for Stanley Quencher H2.0 Cup Accessories, Black, Flip Straw Leak Proof 40oz Tumbler Lid for Stanley, BPA-free Cup Top, Spill Proof Straw Cover for Stanley",$9.59,$309,40183,63,4.3,FBA,3,No
B0F124S17W,"40 oz Tumbler Flip Straw Lid for Stanley Cup Accessories, 2 Pack Leak Proof Stanley Lid Replacement 40 oz for Stanley Quencher",$13.99,$767,20088,213,4.3,FBA,4,No
B0CTHYGK34,"40 OZ Tumbler Lid Replacement Fit for Stanley Cup, 2 Pack Clear Replacement Lids Fit for Stanley Travel Tumbler, Spill Proof Tumbler Covers for Stanley Cup Accessories (Clear - White)",$8.99,"$3,412",1609,2305,4.5,FBA,5,No
B0DTHJ1CSZ,"30oz Flip Straw Lid for Stanley Quencher H2.0 Tumbler, 2 Pack Leak Proof Lid Replacement No Spill Cover for Stanley Cup Accessories ProTour (Rose Quartz,Rose Quartz)",$15.99,"$2,721",2114,497,4.4,FBA,6,No
B0F27Z6SK8,"2 Pack 40 oz Flip Straw Lid for STANLEY Quencher ProTour and H2.0 FlowState Tumbler(Only for STANLEY Tumbler), Leakproof Lid, No Spill & Easy to Use Reusable Cover(Cream)",$9.99,"$2,426",2233,465,4.2,FBA,7,No
B0GS6XFTFR,"40 OZ Tumbler Lid Replacement Compatible for Stanley Quencher H2.0, 1 Pack BPA Free Clear Lid Replacement for Stanley Cup Accessories(Clear-White)",$5.99,$107,18344,5,5,FBA,8,No
B0F7LS2P47,"2 Pack Stanley Lid Replacement 40 oz, with Leak Proof and Flip Straw Lid, Stanley Cup Accessories, for Stanley Quencher H2.0 40 oz Tumbler (Only), BPA Free (Milk White)",$14.23,"$5,074",1269,1369,4.2,FBA,9,No
B0DQV1J18S,"2 Pack 30 oz Tumbler Flip Straw Lid Replacement Compatible for Stanley Quencher, Leak Proof Lid Replacement for 30 OZ Stanley H2.0 FlowState Tumbler,Spill Proof Splash Reusable (Black)",$9.99,"$1,063",16951,436,4.2,FBA,10,No
