ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D56W4VYR,"hello momoya Compression Socks for Women Men Circulation Knee High 8 Pairs for Nurses, Running, Travel, Athletic",$26.99,"$5,017",12990,3999,4.5,FBA,1,No
B071RRHYJ8,"CHARMKING Compression Socks for Women & Men Circulation (8 Pairs) 15-20 mmHg is Best Support for Athletic Running,Cycling",$19.99,"$27,072",641,88555,4.5,FBA,2,No
B07W2154Y4,FITRELL 3 Pairs Compression Socks for Women and Men 20-30mmHg-Circulation Support Socks,$17.99,"$64,589",71,37846,4.5,FBA,3,No
B07H13NWNL,"NEWZILL Medical Compression Socks for Women & Men, 20-30 mmHg Knee-High Support for Circulation, All-Day Comfort for Work Travel Running Cycling and Fitness",$36.00,"$5,687",5928,11024,4.5,FBA,4,No
B0BN75Z32T,"4 Pairs Compression Socks for Women Circulation-Best Support for Nurses,Running,Athletic,Travel",$9.99,"$66,828",235,9419,4.5,FBA,5,No
B0CWGDPXMB,"Copper Compression Socks 15-20 mmHg for Men & Women 8 Pairs – Circulation Support for Nurses, Travel, Running, Hiking, Soccer",$19.99,"$21,042",666,39497,4.6,FBA,6,No
B0D3D54RKN,"bropite Compression Socks for Women & Men Circulation-Support Knee High Socks 20-30 mmhg-Best for Running,Medical,Nurse,Travel",$18.79,"$2,737",13433,5736,4.4,FBA,7,No
B0755BCDGR,CHARMKING Compression Socks for Women & Men Circulation (3 Pairs) 15-20 mmHg is Best Support for Athletic Running Cycling,$13.99,"$58,618",326,88873,4.4,FBA,8,No
B0BL6MTHPY,(3 pairs) Compression Socks 20-30 mmHg Long Knee High Socks for Women Men Support Athletic Travel Daily Wear,$7.99,"$8,696",2592,4673,4.4,FBA,9,No
B0BLN73C9F,"hello momoya Compression Socks for Women Men Circulation Knee High 8 Pairs for Nurses, Running, Travel, Athletic",$25.99,"$5,017",10955,3990,4.5,FBA,10,No
