ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0C73XYN8R,"Irenare 20 Sets Silicone Straws with Case Reusable Collapsible Foldable Travel Portable Straw Cold or Hot Drinking with Carry Case, Long Cleaning Brush and Keychain, 10 Colors(Cute)",$25.99,$31,149282,19,4.4,FBA,1,No
B0BS8M796Y,"Irenare 20 Sets Silicone Straws with Case Reusable Collapsible Foldable Travel Portable Straw Cold or Hot Drinking with Carry Case, Long Cleaning Brush and Keychain, 10 Colors(Classic)",$29.99,$96,119691,103,4.6,FBA,2,No
B0C4KCW28X,"Rtteri 100 Sets Reusable Straws Foldable Silicone Straws Travel Straw Collapsible Portable Straws with Case Long Cleaning Brushes and Keychain for Home Party Travel Cold or Hot Drink, Multicolor",$73.99,$21,263927,9,4.7,FBA,3,No
B0BZ7FFFNG,Rtteri 50 Sets Reusable Foldable Silicone Straws Travel Collapsible Portable Straws with Case Long Cleaning Brushes and Keychain for Home Party Travel Picnic Cold Hot Drink,$58.99,$6,387041,17,4.6,FBA,4,No
B0D49CQMWS,"Set of 10 Silicone Straws with Case, Reusable Collapsible Straws Travel Straws with Cleaning Brushes, Portable Foldable Drinking Straw for School, Office, Party, Picnic, 10 Color",$14.99,$45,112543,51,4.6,FBA,5,No
B0BDM5VTYD,"Meanplan 4 Sets Cruise Ship Essentials,4 Set Silicone Straws with Case Reusable Silicone Portable Drinking Straw Set for Party Travel Cold or Hot with 4 Carry Case, 4 Cleaning Brushes (Fresh Color)",$9.49,"$1,563",7500,694,4.6,FBA,6,No
B09NVRDH5H,"Kynup 4Packs Reusable Straws, Metal Straw with Silicon, Travel Drinking Straws with Case, Keychain, Cleaning Brushes, Silicon Pcs Perfect for Travel, Gifts (20 PCS) Blue-Black-Silver-Turquoise",$9.99,"$10,198",586,12703,4.6,FBA,7,No
B07T83QTPH,"Sunseeke Silicone Straws Reusable - Odorless, 12 Standard Drinking Straws, 4 Carry Pouch, 2 Cleaning Brushes, Certificated Food Grade Platinum Silicone - 8 1/2"" Long",$9.99,"$1,416",7195,8024,4.6,FBA,8,No
B0D6R5Z4V8,"2 Set Silicone Straws with Case, Reusable Travel Straw Cruise Ship Essentials, Foldable Portable Straw + Deep Cleaning Brush + Carry Case with Keychain, for Travel & Party Cold or Hot (Pink & Blue)",$6.99,$343,34005,136,4.4,FBA,9,No
B0CSYB4CWL,"4-Size Reusable Silicone Straws with Travel Keychain Cases-Portable Collapsible For Cruise Ships, Short-Long Size For 4-20 oz Tumblers,Kids Toddlers Adults, Standard&Wide For Regular Liquid&Smoothie",$12.99,$264,34840,186,4.6,FBA,10,No
