ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GVBY418P,"Dog Puzzle Toy Slow Feeder Bowl, Interactive Pet Feeder Toy, Treat Dispensing Puzzle Game for IQ Training, Treat Hiding, Foraging Play, Enrichment Toy for Small Medium Large Dogs & Cats",$13.39,$16,148635,0,5,FBA,1,No
B0FWYYH8SR,"Food Puzzle Feeder for Large or Medium Dogs, Mentally Stimulating Enrichment Toy, Made in USA, BPA-Free Durable Foraging Toy, Reduces Anxiety and Destructive Behavior, Slow Feeder Dog Bowls, 5C",$32.00,$19,118973,34,3.9,FBA,2,No
B0GYDYWVV6,"Dog Lick Mat & Slow Feeder Bowl Combo, Enrichment Toy with Puzzle Dome, 4-Texture Silicone Licking Mat for Anxiety Relief, Slow Feeding, Boredom Buster with Cleaning Brush & Silicone Spatula (Blue)",$19.99,$17,47507,2,5,FBA,3,No
B0CXP3WLRR,"Slow Feeder Dog Bowl 3 Levels, Reduces Boredom and Anxiety, Non-Slip Interactive Puzzle Feeder, Suitable for Small/Medium/Larger Dogs",$19.99,"$1,973",6595,704,4.5,FBA,4,No
B0FF9SBJTF,"vancasso Slow Feeder Dog Bowl, 0.6 Cup Ceramic Slow Feeding Food Dish for Small Breed, Puzzle Dog Food Bowl for Fast Eater, Blue",$18.49,"$1,632",7704,345,4.8,FBA,5,No
B0DX62S2SM,"KADTC 5-60 Min Adjustable Slow Feeder Bowl for Fast Eaters, Spinning Dog Puzzle Feeder, Anti-Gulping Interactive Food Dispenser, 4-Cup Capacity, Mental Enrichment Treat Toy",$24.90,$886,10380,281,4.4,FBA,6,No
B0FQC9JN15,"Yipetor Slow Feeder Dog Bowls for Liquid Treat, 【Enrichment Ball-Roll】 Bone Broth Dog Lick Bowl, 3/4 Cup Yogurt Pup Lick Toy for Large Medium Small Breeds Dietary Supplement/Post-op Nutrition",$19.99,"$14,265",1445,1097,3.9,FBA,7,No
B0DXKF1193,"Slow Feeder Dog Bowl for Large & Small Pets, Anti Choking Puzzle Dog Food Bowl with Non-Slip Base, Interactive Pet Slow Eating, Silicone Cat Feeder for Puppies & Cats(Grey Green)",$9.99,"$1,609",6931,803,4.5,FBA,8,No
B0GR3LCV1T,"Slow Feeder Dog Bowl - 3-Tier Rotating Interactive Dog Puzzle Toy for Mental Enrichment & IQ Training - Anti-Gulping Bloat Stop Dog Feeder for Small & Medium Dogs and Cats, Food-Grade & Non-Slip",$14.99,$43,86414,21,3.9,FBA,9,No
B0GSSH952W,"Slow Feeder Dog Bowl – 3-Level Puzzle Feeder for Large, Medium & Small Dogs | Spinning Lick Bowl for Liquid Treats, Peanut Butter & Wet Food | BPA-Free Dog Enrichment Bowl",$20.99,$99,66820,10,5,FBA,10,No
