ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BV1ZTDVS,"Cat Shelf with Comfortable Cushion - Wave Modern Cat Bed - Minimalistic Floating Cats Wall Perch - Wooden Wall Mounted Cats Furniture for Sleeping, Playing, Climbing, and Lounging",$97.99,$67,54263,237,4.7,FBA,1,No
B0D2GZ4S1Q,"FUKUMARU Cat Wall Shelves, Stable & Safe 5 in 1 Cat Walls Furniture Set, Wooden Kitten Climbing Wall with Scratching Post for 16 Inch Drywall - Gray",$68.79,"$2,535",5667,1536,4.4,FBA,2,No
B0FJFJR4GV,"XiaZ Cat Wall Shelves, Corner Cat Shelf with 3 Wide Perch Steps, Kitty Wall Climber Wooden Furniture up to 25lbs, Modern Floating Cats Stairs for Indoor Sleeping, Playing, Climbing",$39.99,$632,14818,183,4.4,FBA,3,No
B0FM3KY5QN,"Cat Wall Shelves, Walnut Finish – Floating Cat Furniture with Curved Bed & Steps | Modern Minimalist Wood Climbing Shelves Set of 4 for Indoor Cats, Sturdy Wall-Mounted Design",$73.99,$166,,33,4.3,FBA,4,No
B0F6LLMYRX,"5-in-1 Cat Wall Shelves for Indoor Cats, Wall Mounted Cat Furniture with Bed, Cave, Scratching Post & Perch, Multi-Level Cat Climbing Wall, Space Saving Floating Cat Shelves (Natural Wood Darkgrey)",$69.98,$672,17568,253,4.3,FBA,5,No
B0FKT25YHZ,"5-in-1 Cat Wall Shelves Set with Hammock, Wall-Mounted Cat Furniture Includes Condo, Bridge, Ladder & Steps for Indoor Cats, Safe & Stable (Gray)",$69.99,$287,24029,36,4.4,FBA,6,No
B0BTYDDKSP,"Modern Wall-Mounted Cat Furniture - 5pcs Cat Wall Shelves, Wooden Climber Includes House, Bridge, Tree, Steps, and Scratcher (Black)",$49.99,$413,17831,942,4.3,FBA,7,No
B0GF7X93B7,"Heavy Duty Cat Wall Shelves for Large Cats, 6-in-1 Cat Furniture Set with 17"" × 11.9"" Large Perch Bed and Hammock, Cat Climbing Wall Systems with Vertical Cat Scratcher",$69.99,$165,45089,22,4.4,FBA,8,No
B0GHTNHLVN,"Cat Wall Shelves, 10-Piece Complete Cat Wall Furniture System with Perches and Scratching Posts, Stable Floating Climbing Set for Large Indoor Cats, Space Saving Kitty Furniture - Dark Gray",$79.99,$31,53647,31,4.1,FBA,9,No
B0BYF87KGZ,"Cat Wall Shelves for Large Cats – 9-Piece Wooden Wall-Mounted Cat Shelves Set, Kitty Climbing System with Perches, Scratching Post & Condo House",$89.99,$184,39087,524,4.6,FBA,10,No
