ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GLZTZXQS,"Mellbree Surfboard Leash, Premium SUP Leash Double-Side Rotatable Wirst Strap Leg Rope Flexible for Paddleboard Longboard Shortboard Stand-up Paddleboards",$11.99,$414,20485,34,4.9,FBA,1,No
B072Z94V95,"Abahub Premium Coil SUP Leash, 10 ft Coiled Paddle Board Leashes, 7.2mm Thick Legrope Strap for Longboard Surfboards, Stand-up Paddleboards, iSUP Replacement Leg Rope, 8 Colors…",$11.99,$939,7364,2343,4.6,FBA,2,No
B072Z9CGRK,"Abahub Premium Coil SUP Leash, 10 ft Coiled Paddle Board Leashes, 7.2mm Thick Legrope Strap for Longboard Surfboards, Stand-up Paddleboards, iSUP Replacement Leg Rope, 8 Colors…",$11.99,$939,7176,2341,4.6,FBA,3,No
B0F3HT42RP,"Coiled SUP Leash, 10ft Premium Surfboard Leash Coiled Stand Up Paddle Board Leash, 7mm Thick Leg Rope Strap Ankle Safety Rope for Longboard Surfboards, Stand Up Paddle Board, SUP Replacement",$14.99,$17,183103,5,5,FBA,4,No
B0G33S8FMC,"niphean Surfboard Leash 3–10ft, Coiled Paddle Board Leash SUP Ankle Strap, Durable Spiral Surf Leash Leg Rope with Plug, Tangle-Free, Comfortable Boogie Board Leash for Paddleboard, Longboard",$16.99,$38,110045,23,4.9,FBA,5,No
B096VL3DHV,"Coiled SUP Leash Premium Paddle Board Ankle Leashes Legrope Strap for Paddleboard, Surfboard, Longboard",$14.99,$439,17603,348,4.6,FBA,6,No
B0118QMOXK,"SBS Paddleboard Leash – 10ft Coiled SUP Leash with Comfortable Ankle Cuff – Durable, Tangle-Free Surf Leash for Stand Up Paddleboards",$18.95,$67,122870,703,4.8,FBA,7,No
B07ZG72JYN,Dakine SUP Coiled Ankle Leash,$38.33,$17,307830,33,4,FBA,8,No
B07RBQVJW8,"Abahub Premium Coil SUP Leash, 10 ft Coiled Paddle Board Leashes, 7.2mm Thick Legrope Strap for Longboard Surfboards, Stand-up Paddleboards, iSUP Replacement Leg Rope, 8 Colors…",$12.99,$939,7364,2343,4.6,FBA,9,No
B087KQ3TBZ,BOTE Coiled PVC Wrapped Ankle Leash Universal Design for SUP Stand Up Paddle Boarding Surf Wake Watersports Accessory 10 FT Leash Adults Kids Friendly,$45.00,$51,119806,90,4.7,FBA,10,No
