ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0BYDZQY2K,"Large Desk Mat 47.2"" x 17"" Leather Desk Pad Protector with Natural Cork & PU Leather, Non-Slip Office Desk Mat, Large Mouse Pad, Waterproof Desk Blotter pad for Office&Home(Black)",$19.98,"$2,848",2983,2011,4.7,FBA,1,No
B0D98NSCMR,"AFIING Extra Large Desk Mat - 63""x 17"" Non-Slip Office Desk Pad, Oversized Mouse Pad for Home & Work, Waterproof Desk Protector for Keyboard & Mouse (Black)",$32.99,"$7,989",727,1377,4.8,FBA,2,No
B0F9FGC1ZB,"TopMade Mouse Pad with 15W Fast Wireless Charging, 31.5""x15.75"" XXL Large Gaming Waterproof Desk Pad with Ultra-Smooth Surface, Non-Slip Base, Computer Desk Mat for MacBook, PC, Laptop, Black",$43.99,$342,22353,62,4.6,FBA,3,No
B0FCF961YS,"Mouse Pad with Foldable Phone Holder & Wireless Charger, XL RGB Gaming Mousepad 31.5""x11.8"" Large Desk Mat for Keyboard, Home Desk Pad with Dual Qi Charging Station | 11 Colors & 5 Modes | Waterproof",$54.49,"$1,371",4643,4,5,FBA,4,No
B0CGJBJ2X7,"XXL Mouse Pad with Phone Holder - Black, RGB Desk Mat with 15W Fast Charging, LED Gaming Mousepad with 11 Light Colors, Waterproof Non-Slip Pad for Office & Home",$49.99,"$1,452",6247,191,4.6,FBA,5,No
B09DV8WKK8,"Logitech Desk Mat - Studio Series, Multifunctional Large Desk Pad, Extended Mouse Mat, Office Desk Protector with Anti-Slip Base, Spill-Resistant Durable Design, in Mid-Grey",$17.89,"$1,225",5838,6267,4.7,FBA,6,No
B0CNDF682X,Pixiecube Excel Cheat Sheet Desk Pad | Excel Shortcut Keys Mouse Pad | Extended Large XL Gaming Mousepad | PC Office Spreadsheet Keyboard Mat | Non-Slip Stitched Edge,$21.95,"$4,419",1522,3067,4.7,FBA,7,No
B0FW9JCWC7,"RGB Mouse Pad 35.4×15.7 Inches – Extended LED Mouse Pad with 14 Lighting Modes, Gaming Desk Mat, PC Gaming Accessories, Large Keyboard Pad with Non-Slip Rubber Base.",,$17,184657,9,4.3,FBA,8,No
B0C8819PHF,"VIVO Extra Large 71 x 30 inch Full Size Desk Pad with RGB Lighting for Office Ambience and Immersive Gaming, Oversized Mouse Pad Table Top Cover, 12 Color Modes, Non-Slip Base, Black, DESK-PAD72",$59.99,$63,111570,51,4.7,FBA,9,No
B0F9GG3TBY,"Green Library Study Room Large Gaming Mouse Pad 31.5""x15.7""｜XXL Desk Mat, Non-Slip Rubber Base & Stitched Edges - Extended Waterproof Mousepad for PC/Laptop/Office/Home Decor",$16.99,"$1,295",8572,251,4.7,FBA,10,No
