ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0GKY7T4L5,"185 Pieces of Candle-Making Tools: 100 Cotton Wicks and 30 Wooden Wicks, 1 Wax Melting Pot, 3 Candle Cups,with Complete Tool Set，for Soy Beeswax DIY Candles",$17.99,$1,536466,0,4.5,FBA,1,No
B0GR11H4NT,"45PCS Candle Making Kit for Candle Drilling&Mold Punching,7.9"" Extra Long Big Eye Needle Hand Twist Drill Bits Multi Sizes with Plastic Box,Candle Mold Punch Set with Hook Eye for Inserting Mold Wicks",$16.99,$415,23630,99,4.7,FBA,2,No
B0FMY8VSXS,"Candle Wick for Candle Making, Wooden 120Pcs 5.0X 0.5 Inch, 60Pcs Iron Stand, 60Pcs Candle Wick Stickers",$9.99,$925,7259,119,4,FBA,3,No
B0FSZW2F1Z,"Multiwins 130 Pcs Candle Wicks for Candle Making Kit: 100 Cotton & 30 Wood Wicks with Complete Tool Set (Wick Holders, Wick Stickers, Candle Tabs, Tweezers, Pen), for Soy Beeswax DIY Candles",$8.99,"$2,723",1806,357,4.7,FBA,4,No
B0DMRTV2WD,"100pcs Wooden Candle Wicks 5.1 x 0.5 Inch, Smokeless Cherry Wood Wicks with Metal Clips, Includes Wick Trimmer, Perfect for Candle Making Kit and Soy Wax Candlemaking",$13.99,$14,255782,44,3.7,FBA,5,No
B0BV1NCQ28,"Ziosxin 100 Pcs Smokeless Cherry Wood Candle Wicks, Long Lasting Flame, Easily Burn, Candle Cores with Stand and Glue Dot, Warning Label for DIY Candle Making",$6.99,$828,3403,829,4.1,FBA,6,No
B0DCHJC5FB,MAQIHAN 100 Wood Wicks for Candles Making - Smokeless Wooden Candle Wicks Crackling Candle Wax Wood Wick mechas para velas de cera Candle Making Wicks for Paraffin Candle Soy Wax Candlemaking(50 Sets),$8.99,"$1,082",6284,866,4.1,FBA,7,No
B09QKGSR2M,"Ziosxin 50 Set Candle Wick, Thicken Smokeless Cherry Wood Wicks for Candles-Long Lasting Flame-Easily Burn, Candle Cores with Stand and Glue Dot, Candle Wicks for Candle Making",$6.99,$651,8242,831,4,FBA,8,No
B08NJV3LDD,"200 Pcs Thicked Wood Candle Wicks for Candle Making, 5.1 X 0.51X 0.06 Inch Upgrade Wood Wicks, Wooden Wicks Box Includes Iron Stander, Glue Dot, and Warning Labels (50 Sets)",$8.99,$456,15197,1304,4.2,FBA,9,No
B0FSZWF5KL,"130 Pcs Candle Wicks for Candle Making Kit: 100 Cotton & 30 Wood Wicks with Complete Tool Set (Wick Holders, Wick Stickers, Candle Tabs, Tweezers, Pen), for Soy Beeswax DIY Candles",$8.99,"$2,723",1988,357,4.7,FBA,10,No
