ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B0D8J57N5F,"SIXPACK ACTION Pioneering Surf Leash, 5ft/6ft/7ft/8ft/9ft Comp Pro Surfboard Leash with 360-Degree Integral Molding Cuff Providing Maximum Durability, Flexibility and Comfort",$39.99,$10,356585,59,4.4,FBA,1,No
B089CM5KZ9,"Regular 6ft-12ft Surfboard Leash with Power Clip Quick Release Upgrade, Cord Thickness (.270in), Key Pocket, Unbreakable Swivels, Detachable Railsaver, Made in USA",$64.95,$0,974588,10,4,FBA,2,No
B0F2GQS7K8,"Rock It Surf Premium Surfboard Leash, 6ft & 8ft Surf Board Leashes, 7mm Legrope Strap for Shortboard, Longboard or SUP Made with Recycled Materials, Extra Strength Velcro & Stainless Swivels",$22.99,$9,176617,33,4.7,FBA,3,No
B07KJTRSNC,"Big Wave 6ft-20ft Surfboard Leash with Power Clip Quick Release Upgrade, Cord Thickness (.313in), Key Pocket, Unbreakable Swivels, Detachable Railsaver, Made in USA",$74.95,$2,776190,7,5,FBA,4,No
B07KJNTRC4,"Regular 6ft-12ft Surfboard Leash with Tangle Free Upgrade, Cord Thickness (.270in), Key Pocket, Unbreakable Swivels, Detachable Railsaver, Made in USA",$64.95,$3,581317,34,4.5,FBA,5,No
B072Z8LJ9G,"Abahub Premium Surfboard Leash, 6/7/8/9/10 ft, Straight Surf Board Leashes, 6/7mm Legrope Strap for Shortboard, Longboard",$13.99,"$1,216",5329,2282,4.6,FBA,6,No
B0FD9XG6LF,"Billabong x Surfboard Leash – Ankle Leash with Double Swivel, Heavy-Duty PU Cord for Longboards and Shortboards, Secure and Lightweight",$32.00,$45,96677,5,5,FBA,7,No
B0GLZMPDWS,"Mellbree Surfboard Leash, Premium SUP Leash Double-Side Rotatable Wirst Strap Leg Rope Flexible for Paddleboard Longboard Shortboard Stand-up Paddleboards",$9.99,$427,19237,34,4.9,FBA,8,No
B072Z8BF5G,"Abahub Premium Surfboard Leash, 6/7/8/9/10 ft, Straight Surf Board Leashes, 6/7mm Legrope Strap for Shortboard, Longboard",$14.99,"$1,216",5312,2282,4.6,FBA,9,No
B0GGTKKRQT,"Dakine Kainui Plus Surfboard Leash 6ft, Heavy Duty Surf Leash with 1/4"" Dura-Cord and Ankle Cuff, Strong Surf Board Leash for Powerful Waves, Size: 6FT X 1/4IN, Color: Black",$37.00,$8,298470,0,,FBA,10,No
