ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B07ZD86V1W,"Adjustable Ankle Weights 1-3/4/5/6/8/10/12/15/20 LBS Pair with Removable Weight for Jogging, Gymnastics, Aerobics, Home, Fitness, Physical Therapy",$27.99,"$6,740",270,10304,4.5,FBA,1,No
B0DJ8C9F3B,"Wrist and Ankle Weights for Women & Men 2 Pack (1lb Each), Adjustable Silicone Wearable Arm & Leg Weights for Pilates, Gym, Yoga, Cardio, Strength Training",$22.98,"$1,940",2367,212,4.6,FBA,2,No
B09T981811,"APEXUP Adjustable Ankle Weights for Women and Men, Modularized Leg Weight Straps for Yoga, Walking, Running, Aerobics, Gym, Physical Therapy",$28.75,"$5,284",1705,7627,4.5,FBA,3,No
B0DGQD7G8N,BeatBoost Ankle Wrist Weights for Women Men A Pair of 1 2 3 4 6 8 10 Lbs Arm Leg Weight Set with Adjustable Straps for Walking Pilates Exercise Workout Gym Aerobics,$17.99,"$1,136",11148,474,4.5,FBA,4,No
B0FVY3QHWF,"Ankle & Wrist Weights for Women – Adjustable Silicone Wrist & Ankle Weights, Wearable Arm/Leg Set for Pilates, Yoga, Walking & Strength Training (1 or 2lbs Pair Black or Pink)",$19.99,$153,54268,54,4,FBA,5,No
B07F25L7QK,"Sportneer Adjustable Ankle Weights Set - 1 Pair (2-10 lbs) Removable Sandbags for Women & Men, Comfortable Neoprene Leg Weights for Walking, Running, Pilates, Yoga, Home Workout & Physical Therapy",$32.99,"$22,053",142,24143,4.5,FBA,6,No
B0DT6W18FC,"AMORIX Ankle Weights for Women Men, 3 Pairs Wrist Weights Set for Walking Running, 0.5LB/1LB/2LB Each Side Silicone Workout Weights for Gym Fitness,Jogging,Yoga,Strength Training,Physical Therapy",$49.99,$418,28300,110,4.3,FBA,7,No
B07FVLC7BM,"Sportneer Adjustable Ankle Weights for Women and Men 7 lbs/Pair Adjustable Leg Weights with Secure Straps, Strength Training Weighted for Yoga, Walking, Running, Aerobics, Gym, Physical Therapy",$19.96,"$3,524",4091,11388,4.5,FBA,8,No
B0G5PMLFB4,Shappy 4 Pairs Ankle Weights Set for Women Men Kids 2/3/4/6 Lbs Per Pair Adjustable Wrist Arm Leg Weights for Gym Yoga Fitness Workout Training Fitness Workout Walking Jogging Running,$49.99,$11,205500,1,4,FBA,9,No
B08XS94RSQ,"JFIT Adjustable Ankle Weights - Ankle Weight Pair 10 Weight and Bundle Options - 0.5 to 10 lbs Each, Set of 2, Adjustable Straps – Comfortable, Breathable, Moisture Absorbent Weight Straps for Men and Women",$11.99,"$2,996",3011,1608,4.4,FBA,10,No
