ASIN,Title,Price,Monthly Revenue,BSR,Reviews,Rating,FBA,Rank,Sponsored
B081S7R83J,"321Done Meal Planning Notepad - 50 Sheets (5.5x8.5) - Perforated Weekly Meals Planner Shopping List Menu Groceries Grocery List, Tear Off Memo Pad - Made in USA - Simple Script",$12.99,$377,25874,978,4.7,FBA,1,No
B0CMX39G7K,"Weekly Planner Pad, Weekly To Do List Notepad, Tear Off Undated Weekly Planner Notepad, A4 Size (8,3"" X 11,7""), Premium Thick Paper with Cardboard Back Support, Weekly Desk Planner by Hadigu",$8.99,$78,55596,106,4.6,FBA,2,No
B0D8WWGDQ7,"ThreeKin Weekly Planner - Premium 52-Sheet Tear-Off Notepad, 8.5 x 11 inches, Clean Colorful Design, Perfect for Work, School, Projects, and Entrepreneurs, Female & USA Owned Business",$9.99,"$1,805",3416,484,4.7,FBA,3,No
B0FVXHFWQ1,Beautiful Weekly Planner - The Perfect Undated To Do List Notepad with 52 Sheets - Aesthetic Calendar Pad & Office Desk Supplies For Women to Effectively Organize Your Work or Home Tasks,$3.99,$710,13329,113,4.7,FBA,4,No
B09PTWYL23,"Weekly Planner Notepad Tear Off Set of 2 Weekly Calendar Pad 52 Undated To Do List Notepad Sheets Desk Planner Planning Pads Productivity Tracker for Work Goals Notes Schedule Ideas, Floral Blue",$8.99,$494,18935,645,4.7,FBA,5,No
B09HGJTXF7,"60 Sheets Weekly Pad, Tear Off Weekly Planner Notepad with Daily Schedule Weekly to Do List Notepad（7x10” ）",$7.99,$643,18676,202,4.6,FBA,6,No
B07Y8TD9SZ,bloom daily planners Horizontal Weekly Tear-Off To Do List Planning Pad - Undated Notepad Organizer & Healthy Habit Tracker - 8.5” x 11” - Floral,$12.95,$848,11028,4036,4.8,FBA,7,No
B0DL5S8X4T,"Undated Weekly Hourly Planner Notepad, Tear-Off ADHD Planner,Weekly Planner,Weekly Schedule Planner,Weekly To Do List Notepad(52 Sheets,8.5""x11"",Colorful)",$7.99,$95,89025,51,4.2,FBA,8,No
B0BS2L4Z3F,"Weekly Planner Pad: To Do List Desk Notepad with Multiple Sections - 8.5x11"" 52 Sheets - Undated Tear Off Notebook Calendar - Habit Planning Tracker, Task Goal Checklist Organizer - Agenda Plan Pad",$8.99,"$1,767",,3062,4.8,FBA,9,No
B0BGDVSX74,"Decorably 52 Sheets Forest Green Undated Weekly Planner Tear Off Pad - 6.5x10in Spring-Bound Desk Notepad, for Focus, Priorities, to-Do List, Habit Tracker, Agenda, Notes - Home, School, Office",$5.99,$276,38087,275,4.8,FBA,10,No
